sample	tax_id	abundance	species	genus	family	order	class	phylum	clade	superkingdom	subspecies	species_subgroup	species_group	estimated_counts	gene.count	new.count	new.abundance
SX03219	300419	0.534218228596196	Catellicoccus marimammalium	Catellicoccus	Enterococcaceae	Lactobacillales	Bacilli	Firmicutes	Terrabacteria group	Bacteria	NA			11349.4662665262	6	1891.5777110877	0.0200920018239005
SX03219	188913	0.328679408791103	Cetobacterium somerae	Cetobacterium	Fusobacteriaceae	Fusobacteriales	Fusobacteriia	Fusobacteria		Bacteria	NA			6982.79403976698	10	698.279403976698	0.00741699956393785
SX03219	1041504	0.0842085802800838	Candidatus Arthromitus sp. SFB-rat-Yit	Candidatus Arthromitus	Clostridiaceae	Clostridiales	Clostridia	Firmicutes	Terrabacteria group	Bacteria	NA			1789.01128805038	5	357.802257610076	0.0038005119062032
SX03219	52584	0.0051995570747677	Brachyspira pilosicoli	Brachyspira	Brachyspiraceae	Brachyspirales	Spirochaetia	Spirochaetes		Bacteria	NA			110.46459005344	1	110.46459005344	0.00117333521737994
SX03220	562	0.905713553676659	Escherichia coli	Escherichia	Enterobacteriaceae	Enterobacterales	Gammaproteobacteria	Proteobacteria		Bacteria	NA			3717.04842428901	7	531.006917755573	0.005640260982941
SX03223	2116	0.259029927760578	Mycoplasma iowae	Mycoplasma	Mycoplasmataceae	Mycoplasmatales	Mollicutes	Tenericutes	Terrabacteria group	Bacteria	NA			1167.96594427245	2	583.982972136223	0.00620296320500674
SX03223	47421	0.0991735193998447	Hydrogenophaga pseudoflava	Hydrogenophaga	Comamonadaceae	Burkholderiales	Betaproteobacteria	Proteobacteria		Bacteria	NA			447.1733989739	2	223.58669948695	0.00237489813268551
SX03223	1662285	0.0576639441553806	Methylophilus sp. TWE2	Methylophilus	Methylophilaceae	Nitrosomonadales	Betaproteobacteria	Proteobacteria		Bacteria	NA			260.006724196611	2	130.003362098305	0.00138087257694022
SX03223	2025714	0.06220520128731	Hydrogenophaga soli	Hydrogenophaga	Comamonadaceae	Burkholderiales	Betaproteobacteria	Proteobacteria		Bacteria	NA			280.483252604481	2	140.24162630224	0.00148962159732319
SX03224	2116	0.332323232323232	Mycoplasma iowae	Mycoplasma	Mycoplasmataceae	Mycoplasmatales	Mollicutes	Tenericutes	Terrabacteria group	Bacteria	NA			432.020202020202	2	216.010101010101	0.00229442085198829
SX03226	201	0.0190540465120636	Campylobacter lari	Campylobacter	Campylobacteraceae	Campylobacterales	Epsilonproteobacteria	Proteobacteria		Bacteria	NA			1104.31537369967	3	368.105124566558	0.00390994712552707
SX03226	197	0.0125836677688199	Campylobacter jejuni	Campylobacter	Campylobacteraceae	Campylobacterales	Epsilonproteobacteria	Proteobacteria		Bacteria	NA			729.311632877495	3	243.103877625832	0.00258220612561926
SX03226	2116	0.270124887588665	Mycoplasma iowae	Mycoplasma	Mycoplasmataceae	Mycoplasmatales	Mollicutes	Tenericutes	Terrabacteria group	Bacteria	NA			15655.6281099762	2	7827.81405498812	0.0831456478621427
SX03226	703	0.0334920038122051	Plesiomonas shigelloides	Plesiomonas		Enterobacterales	Gammaproteobacteria	Proteobacteria		Bacteria	NA			1941.09606494397	13	149.315081918767	0.00158599822817887
SX03226	1549855	0.216951481843536	Haematospirillum jordaniae	Haematospirillum	Rhodospirillaceae	Rhodospirillales	Alphaproteobacteria	Proteobacteria		Bacteria	NA			12573.8570332058	5	2514.77140664116	0.0267114543551442
