sample	tax_id	abundance	species	genus	family	order	class	phylum	clade	superkingdom	subspecies	species_subgroup	species_group	estimated_counts	gene.count	new.count	new.abundance
SX03201	300419	0.923266661218479	Catellicoccus marimammalium	Catellicoccus	Enterococcaceae	Lactobacillales	Bacilli	Firmicutes	Terrabacteria group	Bacteria	NA			23051.1987306418	6	3841.86645510697	0.0187490053483638
SX03201	1352	0.00165616240792793	Enterococcus faecium	Enterococcus	Enterococcaceae	Lactobacillales	Bacilli	Firmicutes	Terrabacteria group	Bacteria	NA			41.3494068387366	6	6.8915678064561	3.36321012642434e-05
SX03201	1173025	0.00156410781413314	Geitlerinema sp. PCC 7407	Geitlerinema	Coleofasciculaceae	Oscillatoriales		Cyanobacteria	Terrabacteria group	Bacteria	NA			39.051079795462	3	13.0170265984873	6.35254515394231e-05
SX03201	1421	0.000482980251525996	Lysinibacillus sphaericus	Lysinibacillus	Bacillaceae	Bacillales	Bacilli	Firmicutes	Terrabacteria group	Bacteria	NA			12.0585679398495	12	1.00488066165413	4.90399994897688e-06
SX03201	1145276	0.0158578306147606	Lysinibacillus varians	Lysinibacillus	Bacillaceae	Bacillales	Bacilli	Firmicutes	Terrabacteria group	Bacteria	NA			395.922456958729	10	39.5922456958729	0.000193217342398485
SX03201	946333	0.00425394010561407	Rhizobacter gummiphilus	Rhizobacter		Burkholderiales	Betaproteobacteria	Proteobacteria		Bacteria	NA			106.208122616867	3	35.4027075389557	0.000172771636065616
SX03201	2082386	0.000807715503062863	Methylibium sp. Pch-M	Methylibium		Burkholderiales	Betaproteobacteria	Proteobacteria		Bacteria	NA			20.1662329649705	1	20.1662329649705	9.84148757211435e-05
SX03201	1296669	0.00148290088442864	Aquabacterium olei	Aquabacterium		Burkholderiales	Betaproteobacteria	Proteobacteria		Bacteria	NA			37.0235863815299	4	9.25589659538248	4.51704547252142e-05
SX03201	1505	0.00162185227976769	Paeniclostridium sordellii	Paeniclostridium	Peptostreptococcaceae	Clostridiales	Clostridia	Firmicutes	Terrabacteria group	Bacteria	NA			40.4927858689599	17	2.38192858052705	1.1624243637193e-05
SX03201	1414720	0.00218151883103519	Clostridium saudiense	Clostridium	Clostridiaceae	Clostridiales	Clostridia	Firmicutes	Terrabacteria group	Bacteria	NA			54.4659806544557	10	5.44659806544557	2.65803867606282e-05
SX03201	232348	0.00655620398603962	Synechococcus sp. CB0101	Synechococcus	Synechococcaceae	Synechococcales		Cyanobacteria	Terrabacteria group	Bacteria	NA			163.688744919451	3	54.5629149731503	0.00026627692466875
SX03201	146938	0.00061741183883699	Azovibrio restrictus	Azovibrio	Rhodocyclaceae	Rhodocyclales	Betaproteobacteria	Proteobacteria		Bacteria	NA			15.4149213802431	3	5.1383071267477	2.50758710451444e-05
SX03201	327160	0.00399259021919964	Candidatus Accumulibacter phosphatis	Candidatus Accumulibacter			Betaproteobacteria	Proteobacteria		Bacteria	NA			99.6830000027575	3	33.2276666675858	0.000162157041985696
